img_filename,imdbId,Title,Genre,Drama,Comedy,Romance,Crime,Short,Adventure,Mystery,Horror,Musical ,Fantasy,Family ,Action,Western,History,War,Thriller,Animation,Biography,Documentary ,Sport
13674.jpg,13674,The Three Must-Get-Theres (1922),Action|Adventure|Comedy,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5557.jpg,5557,The Italian (1915),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17103.jpg,17103,The Magician (1926),Drama|Fantasy|Horror,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5149.jpg,5149,The Coward (1915),Drama|History|War,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17750.jpg,17750,Chicago (1927),Comedy|Crime|Drama,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22913.jpg,22913,Freaks (1932),Drama|Horror,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20919.jpg,20919,The Girl Said No (1930),Comedy|Romance,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14417.jpg,14417,La roue (1923),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22495.jpg,22495,Trader Horn (1931),Adventure|Romance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20701.jpg,20701,Borderline (1930),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21874.jpg,21874,Five and Ten (1931),Drama|Romance,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7338.jpg,7338,Sherlock Holmes (1916),Mystery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4936.jpg,4936,The Bank (1915),Comedy|Short,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11358.jpg,11358,Just Pals (1920),Comedy|Drama|Western,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21140.jpg,21140,Men Without Women (1930),Action|Drama,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19071.jpg,19071,The Last Command (1928),Drama|History|Romance,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22619.jpg,22619,Alias the Doctor (1932),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19968.jpg,19968,The Haunted House (1929),Animation|Short|Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3740.jpg,3740,Cabiria (1914),Adventure|Drama|History,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20103.jpg,20103,The Locked Door (1929),Drama|Mystery|Thriller,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7162.jpg,7162,The Pawnshop (1916),Comedy|Short,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23251.jpg,23251,The Music Box (1932),Comedy|Short,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22694.jpg,22694,The Blue Light (1932),Drama|Fantasy|Mystery,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25031.jpg,25031,Dangerous Corner (1934),Mystery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11237.jpg,11237,The Golem (1920),Fantasy|Horror,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18935.jpg,18935,Geschlecht in Fesseln (1928),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15493.jpg,15493,White Shadows (1924),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21406.jpg,21406,Sono yo no tsuma (1930),Crime|Drama,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7145.jpg,7145,One A.M. (1916),Comedy|Family|Short,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5078.jpg,5078,The Cheat (1915),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21508.jpg,21508,Up the River (1930),Comedy|Crime|Drama,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22787.jpg,22787,Les croix de bois (1932),Drama|War,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25303.jpg,25303,In Old Santa Fe (1934),Action|Comedy|Crime,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22403.jpg,22403,Smart Money (1931),Crime|Drama,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24381.jpg,24381,Night Flight (1933),Drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20620.jpg,20620,Abraham Lincoln (1930),Biography|Drama|History,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22235.jpg,22235,L'opÌ©ra de quat'sous (1931),Comedy|Crime|Musical,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18166.jpg,18166,Mockery (1927),Drama|Romance,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
